rasgo,0,3,0
ratas,2,0,0
ratos,2,4,0
rayos,3,2,1
razas,0,0,1
recia,0,0,1
recio,0,1,0
recto,0,0,1
redes,1,0,2
regio,0,5,0
regla,0,0,1
reina,0,5,2
reino,0,3,5
rejas,2,1,0
reloj,0,4,0
reojo,0,1,0
resta,0,0,1
resto,1,1,5
reuma,1,0,0
reyes,1,4,13
rezar,1,0,0
ricas,0,1,1
ricos,2,0,1
riego,1,7,0
rigor,0,1,0
rinde,0,1,0
ritmo,1,0,0
robar,0,1,0
robos,2,0,0
rocas,1,0,5
rodar,1,1,0
rojas,1,3,2
rojos,3,0,1
rollo,0,0,4
rompa,0,0,1
rompe,0,1,0
ronca,1,1,0
ronda,1,0,0
ropas,1,1,3
rosal,1,0,0
rosas,0,0,2
rotas,0,1,0
rotos,1,0,0
rubia,2,0,0
rubio,0,2,0
rubor,0,3,0
rudas,1,0,0
rudos,1,2,0
ruedo,1,0,0
ruega,0,0,1
ruego,0,5,8
rugir,1,0,0
ruido,5,2,0
ruina,1,0,0
rumbo,1,0,0
rumor,3,6,0
rutas,0,0,1
saben,3,3,5
saber,6,19,17
sabes,1,8,13
sabia,0,1,0
sabio,0,1,2
sable,0,3,1
sabor,1,1,0
sacad,1,0,0
sacar,6,3,2
sacia,0,0,1
sacos,1,0,1
sagaz,0,1,0
sakhr,0,0,1
salas,0,0,4
salen,1,0,0
salga,0,2,0
salgo,0,1,0
salir,7,13,11
salto,0,1,1
salud,0,3,0
salva,0,0,1
salvo,1,0,4
sanas,0,0,2
sanos,2,0,0
santa,2,22,5
santo,2,11,2
sapos,1,0,0
saque,0,0,1
sarta,1,0,0
sayal,0,1,0
secar,0,0,1
sedas,2,0,1
segar,1,0,0
sello,0,1,6
senda,2,1,0
sepan,0,2,0
sepas,0,1,0
seres,1,10,4
seria,1,1,0
serie,0,1,0
serio,0,5,0
serle,0,1,0
serlo,0,0,1
serme,0,0,1
sesgo,0,1,0
sexto,0,1,0
shams,0,0,1
siete,1,1,11
sigan,1,0,0
siglo,1,1,14
signo,0,2,1
sigue,1,7,1
silla,0,5,2
sirva,0,0,1
sirve,0,2,1
sitio,8,5,17
sobra,0,1,0
sobre,85,111,110
solas,1,0,1
soles,0,0,1
solos,3,1,0
somos,3,7,15
sonar,3,3,1
soplo,3,1,0
sopor,0,1,0
sorda,1,0,0
sordo,1,1,0
suave,3,0,0
subir,6,0,2
sucia,0,2,0
sucio,0,1,0
sudor,6,0,0
suela,0,0,2
suele,0,0,2
suelo,5,11,8
sufra,0,1,1
sufro,1,0,2
surco,0,1,0
surge,0,1,0
susto,0,0,1
sutil,1,0,2
suyas,0,1,0
suyos,1,4,2
tadeo,0,5,0
tajos,0,1,0
tales,4,31,6
talle,0,1,6
tallo,1,0,0
tanta,3,15,13
tanto,11,50,10
tapar,0,1,0
tapas,0,0,1
tapia,1,0,0
tapiz,0,1,2
tarda,2,0,1
tarde,4,12,3
tardo,0,1,0
tarea,0,2,0
tazas,1,0,0
techo,1,1,0
tejas,1,0,0
telas,0,0,7
temas,0,1,2
temen,0,1,0
temer,0,1,2
temes,0,0,1
temor,0,1,3
tenaz,1,1,0
tener,9,26,13
tenga,1,7,1
tengo,10,26,22
tenor,3,1,0
tenue,0,1,0
terca,0,3,0
terco,0,1,0
tersa,0,2,0
testa,0,1,0
texto,0,0,5
tibia,2,2,0
tibio,0,1,0
tiene,10,51,16
timba,0,1,0
tinta,0,1,1
tinte,1,3,0
